OrderID,ProductID,ProductName,Category,OrderDate,SalePrice,CostPrice,Status,Region,SalespersonID
1001,1,Wool Blend Overcoat,Jackets,2022-01-03,152.00,85.00,Completed,Ontario,SP01
1002,4,Running Pro Sneakers,Footwear,2022-01-05,80.00,42.00,Completed,Alberta,SP02
1003,10,Cotton Oxford Shirt,Tops,2022-01-06,30.00,18.00,Completed,Ontario,SP01
1004,7,Slim-Fit Chinos,Bottoms,2022-01-08,40.00,22.00,Returned,BC,SP03
1005,14,Leather Tote Bag,Accessories,2022-01-10,100.00,40.00,Completed,Ontario,SP01
1006,19,Floral Midi Dress,Dresses,2022-01-12,75.00,30.00,Completed,Quebec,SP04
1007,2,Puffer Jacket,Jackets,2022-01-14,95.00,60.00,Completed,Alberta,SP02
1008,5,Leather Chelsea Boots,Footwear,2022-01-15,130.00,70.00,Returned,BC,SP03
1009,11,Linen Button-Down,Tops,2022-01-18,45.00,20.00,Completed,Ontario,SP01
1010,8,Straight Leg Jeans,Bottoms,2022-01-20,60.00,28.00,Completed,Quebec,SP04
1011,1,Wool Blend Overcoat,Jackets,2022-01-22,152.00,85.00,Completed,Ontario,SP01
1012,16,Leather Belt,Accessories,2022-01-24,25.00,12.00,Completed,Alberta,SP02
1013,3,Rain Resistant Anorak,Jackets,2022-01-25,70.00,45.00,Completed,BC,SP03
1014,12,Graphic Tee,Tops,2022-01-26,22.00,10.00,Returned,Quebec,SP04
1015,20,Wrap Dress,Dresses,2022-01-28,68.00,28.00,Completed,Ontario,SP01
1016,6,Canvas Low-Top Trainers,Footwear,2022-02-01,50.00,25.00,Completed,Alberta,SP02
1017,13,Merino Wool Sweater,Tops,2022-02-03,85.00,35.00,Completed,Ontario,SP01
1018,15,Canvas Backpack,Accessories,2022-02-04,45.00,22.00,Completed,BC,SP03
1019,4,Running Pro Sneakers,Footwear,2022-02-06,80.00,42.00,Returned,Quebec,SP04
1020,1,Wool Blend Overcoat,Jackets,2022-02-08,148.00,85.00,Completed,Ontario,SP01
1021,17,Wool Scarf,Accessories,2022-02-09,28.00,10.00,Completed,Alberta,SP02
1022,10,Cotton Oxford Shirt,Tops,2022-02-10,30.00,18.00,Completed,Ontario,SP01
